rank,model,model_key,macro_f1_avg,weighted_f1_avg,accuracy_avg,macro_precision_avg,macro_recall_avg,training_time_avg_s,complexity,gap_vs_top
1,Ensemble,ensemble,0.9607145904251089,0.9935737958425339,0.9934025217988154,0.9383234081821356,0.9858849438311738,82.52133333333333,3 classifiers,0.0
2,SVM+LR,svm_lr,0.9569164510148602,0.9930510813353683,0.9928629534534916,0.9343738268802753,0.9822446263741672,70.995,2 classifiers,-0.0037981394102486465
3,SVM,svm,0.956368710745161,0.9929006759123968,0.9926862750082619,0.9315519894639963,0.9846355874079386,68.03633333333333,1 classifier,-0.004345879679947817
4,SVM+CNB,svm_cnb,0.950551255244884,0.9919448672778457,0.9917997051122354,0.9353142247788104,0.9670722641201142,64.221,2 classifiers,-0.01016333518022483
5,LR,lr,0.9501586572463867,0.9917600186419887,0.9914399928820194,0.9194726657768122,0.9864674727801369,8.333666666666668,1 classifier,-0.010555933178722166
6,LR+CNB,lr_cnb,0.9376820931943208,0.9894558309672407,0.9891368177542772,0.912862560157328,0.966696991917562,8.791666666666666,2 classifiers,-0.02303249723078804
7,CNB,cnb,0.9083761702572664,0.9843064271578617,0.9834259094491191,0.8698940367922484,0.95787033511892,4.275666666666667,1 classifier,-0.052338420167842514
